year,month,user_account_id,user_lifetime,user_intake,user_no_outgoing_activity_in_days,user_account_balance_last,user_spendings,user_has_outgoing_calls,user_has_outgoing_sms,user_use_gprs,user_does_reload,reloads_inactive_days,reloads_count,reloads_sum,calls_outgoing_count,calls_outgoing_spendings,calls_outgoing_duration,calls_outgoing_spendings_max,calls_outgoing_duration_max,calls_outgoing_inactive_days,calls_outgoing_to_onnet_count,calls_outgoing_to_onnet_spendings,calls_outgoing_to_onnet_duration,calls_outgoing_to_onnet_inactive_days,calls_outgoing_to_offnet_count,calls_outgoing_to_offnet_spendings,calls_outgoing_to_offnet_duration,calls_outgoing_to_offnet_inactive_days,calls_outgoing_to_abroad_count,calls_outgoing_to_abroad_spendings,calls_outgoing_to_abroad_duration,calls_outgoing_to_abroad_inactive_days,sms_outgoing_count,sms_outgoing_spendings,sms_outgoing_spendings_max,sms_outgoing_inactive_days,sms_outgoing_to_onnet_count,sms_outgoing_to_onnet_spendings,sms_outgoing_to_onnet_inactive_days,sms_outgoing_to_offnet_count,sms_outgoing_to_offnet_spendings,sms_outgoing_to_offnet_inactive_days,sms_outgoing_to_abroad_count,sms_outgoing_to_abroad_spendings,sms_outgoing_to_abroad_inactive_days,sms_incoming_count,sms_incoming_spendings,sms_incoming_from_abroad_count,sms_incoming_from_abroad_spendings,gprs_session_count,gprs_usage,gprs_spendings,gprs_inactive_days,last_100_reloads_count,last_100_reloads_sum,last_100_calls_outgoing_duration,last_100_calls_outgoing_to_onnet_duration,last_100_calls_outgoing_to_offnet_duration,last_100_calls_outgoing_to_abroad_duration,last_100_sms_outgoing_count,last_100_sms_outgoing_to_onnet_count,last_100_sms_outgoing_to_offnet_count,last_100_sms_outgoing_to_abroad_count,last_100_gprs_usage
2013,6,430569,658,0,2,114.6,41.4,1,1,0,1,20,2,72.03,59,40.86,286.23,7.6,50.65,2,0,0.0,0.0,2,27,40.86,272.37,2,1,0.0,0.0,2,54,0.54,0.06,4,52,0.54,4,0,0.0,4,0,0.0,4,12,0.0,3,0.0,0,0.0,0.0,1276,14,252.23,1210.03,0.0,1171.38,0.0,298,170,26,95,0.0
2013,6,447090,618,0,1,13.29,3.17,1,1,0,1,17,1,4.0,8,0.74,4.93,0.27,1.82,1,0,0.0,0.0,1,3,0.15,1.0,1,1,0.0,0.0,1,37,2.43,0.11,2,0,0.0,2,24,1.44,2,9,0.99,2,12,0.0,4,0.0,0,0.0,0.0,1276,9,49.0,163.77,0.0,93.88,0.0,100,0,66,11,0.0
2013,6,932654,563,0,2,12.95,4.5,1,1,0,1,2,1,12.0,23,1.0,11.25,0.37,2.45,2,0,0.0,0.0,2,13,0.37,4.22,2,0,0.0,0.0,2,17,3.5,2.0,3,0,0.0,3,3,0.18,3,0,0.0,3,12,2.0,0,0.0,0,0.0,0.0,1276,2,18.0,40.8,0.0,5.35,0.0,35,4,5,0,0.0
2013,6,984201,116,0,1,0.01,16.5,1,1,0,1,16,1,3.0,131,16.11,46.75,4.62,4.67,1,34,7.94,22.73,1,4,0.3,2.0,1,94,9.98,35.4,1,4,0.39,0.11,1,1,0.06,1,0,0.0,1,3,0.33,1,21,0.0,12,0.0,0,0.0,0.0,1276,2,31.0,199.5,75.32,21.52,166.25,18,1,4,7,0.0
2013,6,991627,413,0,2,9.07,8.93,1,0,0,1,17,1,18.0,73,8.93,45.68,3.34,11.6,2,0,0.0,0.0,2,19,2.49,16.6,2,0,0.0,0.0,2,0,0.0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,1276,3,0.0,0,0.0,0,0.0,0.0,1276,3,18.0,51.38,0.0,16.6,0.0,0,0,0,0,0.0
2013,6,996663,137,0,1,44.14,46.93,1,1,0,1,2,3,72.07,125,41.94,151.23,14.0,20.35,1,3,0.95,2.72,1,29,10.75,71.68,1,5,3.31,9.5,1,343,4.99,0.11,1,0,0.0,1,174,0.48,1,13,1.43,1,20,0.0,0,0.0,0,0.0,0.0,62,14,170.085,628.15,26.35,384.28,33.13,1104,0,354,78,1.22
2013,6,1031729,15885,0,1276,0.0,0.0,0,0,0,0,1276,0,0.0,0,0.0,0.0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,0,0.0,0,0.0,0.0,1276,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2013,6,1102311,233,0,1,21.61,23.02,1,1,1,1,3,4,38.02,32,4.96,24.2,1.49,2.27,3,0,0.0,0.0,3,23,3.47,23.1,3,0,0.0,0.0,3,122,8.26,0.11,1,0,0.0,1,93,5.4,1,26,2.86,1,20,0.0,1,0.0,407,56.47,9.8,3,13,98.015,134.13,0.0,120.7,0.0,423,0,400,16,246.74
2013,6,1102926,206,0,2,0.0,0.0,1,0,0,0,66,0,0.0,72,0.0,6.6,0.0,2.0,2,0,0.0,0.0,2,7,0.0,0.0,2,0,0.0,0.0,2,0,0.0,0.0,46,0,0.0,46,0,0.0,46,0,0.0,46,34,0.0,0,0.0,0,0.0,0.0,1276,4,5.9,62.93,0.0,30.47,0.0,62,0,51,0,0.0
2013,6,1108786,96,0,1,16.38,2.25,1,1,0,1,27,1,5.0,6,0.64,4.28,0.34,2.28,2,0,0.0,0.0,2,6,0.64,4.28,2,0,0.0,0.0,2,30,1.61,0.11,1,22,1.32,1,3,0.18,1,1,0.11,1,6,0.0,1,0.0,0,0.0,0.0,1276,3,15.0,37.32,0.0,27.02,0.0,105,65,25,1,0.0
2013,6,1125819,48,0,1,0.62,8.15,1,1,0,0,37,0,0.0,21,1.07,7.1,0.28,1.85,2,0,0.0,0.0,2,9,1.07,7.1,2,0,0.0,0.0,2,118,7.08,0.06,1,5,0.3,1,113,6.78,1,0,0.0,1,8,0.0,0,0.0,0,0.0,0.0,1276,3,15.0,22.65,0.0,7.1,0.0,198,10,187,0,0.0
2013,6,1159548,15885,0,46,0.0,0.0,0,0,0,0,55,0,0.0,0,0.0,0.0,0.0,0.0,46,0,0.0,0.0,46,0,0.0,0.0,46,0,0.0,0.0,46,0,0.0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,0,0.0,0,0.0,0.0,1276,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2013,6,1164471,31,0,7,0.0,13.49,1,0,0,0,31,0,0.0,39,13.49,54.58,2.66,10.55,7,0,0.0,0.0,7,1,0.0,0.0,7,3,0.14,1.45,7,0,0.0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,1276,3,0.0,1,0.0,0,0.0,0.0,1276,2,15.0,59.53,0.0,1.0,0.0,0,0,0,0,0.0
2013,6,48229,15885,0,1276,0.0,0.0,0,0,0,0,1276,0,0.0,0,0.0,0.0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,0,0.0,0,0.0,0.0,1276,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2013,6,95683,1986,0,2,1.68,10.83,1,1,0,1,14,1,6.0,65,10.56,60.85,1.26,7.02,2,1,0.18,0.5,2,48,7.12,39.53,2,3,0.26,1.33,2,6,0.27,0.09,2,0,0.0,2,3,0.27,2,0,0.0,2,18,0.0,1,0.0,0,0.0,0.0,1276,4,24.005,164.07,0.5,121.03,9.17,12,0,5,0,0.0
2013,6,122536,1925,0,1,18.43,19.81,1,1,0,1,2,2,24.0,94,16.15,117.12,3.34,22.25,1,0,0.0,0.0,1,67,15.85,105.67,1,0,0.0,0.0,1,61,3.66,0.06,1,2,0.12,1,59,3.54,1,0,0.0,1,3,0.0,0,0.0,0,0.0,0.0,1276,11,76.0,419.82,0.0,361.0,0.0,304,10,262,32,0.0
2013,6,186406,1974,0,2,4.66,0.18,1,0,0,0,1276,0,0.0,10,0.18,1.0,0.18,1.0,2,0,0.0,0.0,2,1,0.18,1.0,2,0,0.0,0.0,2,0,0.0,0.0,48,0,0.0,48,0,0.0,48,0,0.0,48,3,0.0,0,0.0,0,0.0,0.0,1276,0,0.0,1.0,0.0,1.0,0.0,12,0,1,0,0.0
2013,6,209920,1986,0,1,2.03,21.82,1,1,0,1,5,2,24.03,152,21.34,149.03,2.59,17.28,1,0,0.0,0.0,1,77,16.74,111.58,1,0,0.0,0.0,1,132,0.48,0.15,1,0,0.0,1,0,0.0,1,0,0.0,1,27,0.15,2,0.0,0,0.0,0.0,1276,10,50.04,415.07,0.0,252.92,0.0,355,0,43,0,0.0
2013,6,214338,1893,0,1,3.24,15.4,1,1,0,1,17,1,12.0,73,11.62,81.07,1.02,6.82,1,0,0.0,0.0,1,55,11.02,73.47,1,0,0.0,0.0,1,63,3.78,0.06,3,0,0.0,3,63,3.78,3,0,0.0,3,10,0.0,0,0.0,0,0.0,0.0,1276,2,26.0,149.58,0.0,134.0,0.0,182,0,182,0,0.0
2013,6,227072,1857,0,5,8.0,4.3,1,1,0,0,87,0,0.0,13,3.67,20.4,0.8,4.42,9,0,0.0,0.0,9,12,2.89,16.07,9,0,0.0,0.0,9,8,0.63,0.09,5,0,0.0,5,7,0.63,5,0,0.0,5,2,0.0,0,0.0,0,0.0,0.0,1276,2,10.0,45.77,0.0,40.43,0.0,37,0,30,0,0.0
2013,6,235551,1824,0,11,3.52,0.0,1,0,0,0,1276,0,0.0,3,0.0,0.0,0.0,0.0,11,0,0.0,0.0,11,0,0.0,0.0,11,0,0.0,0.0,11,0,0.0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,0,0.0,0,0.0,0.0,1276,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2013,6,288123,1597,0,1,5.18,10.73,1,1,1,1,2,5,14.4,44,1.11,13.05,0.18,1.22,2,0,0.0,0.0,2,9,0.81,7.35,2,0,0.0,0.0,2,138,9.57,0.5,1,15,0.9,1,112,6.42,1,0,0.0,1,19,0.0,0,0.0,3,0.46,0.05,2,11,23.3,19.68,0.0,11.35,0.0,261,40,206,0,2.54
2013,6,343675,1390,0,1,2.63,3.9,1,1,0,0,1276,0,0.0,52,3.6,25.53,0.67,4.47,1,0,0.0,0.0,1,25,3.6,23.98,1,0,0.0,0.0,1,5,0.3,0.06,8,3,0.18,8,2,0.12,8,0,0.0,8,18,0.0,0,0.0,0,0.0,0.0,1276,0,0.0,71.97,0.0,69.85,0.0,26,6,19,0,0.0
2013,6,373710,1240,0,3,0.02,11.54,1,1,0,1,19,1,1.5,71,5.72,28.2,2.0,1.4,3,0,0.0,0.0,3,51,3.57,23.77,3,0,0.0,0.0,3,233,5.82,0.06,3,0,0.0,3,115,5.82,3,0,0.0,3,12,0.0,0,0.0,0,0.0,0.0,1276,5,25.51,73.6,0.0,60.5,0.0,633,0,229,0,0.0
2013,6,377959,15885,0,1276,0.0,0.0,0,0,0,0,1276,0,0.0,0,0.0,0.0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,0,0.0,0,0.0,0.0,1276,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2013,6,387224,1130,0,1,6.03,2.19,1,1,0,0,80,0,0.0,31,0.87,18.95,0.19,2.4,1,0,0.0,0.0,1,5,0.64,4.28,1,1,0.08,0.8,1,22,1.32,0.06,14,0,0.0,14,22,1.32,14,0,0.0,14,12,0.0,1,0.0,0,0.0,0.0,1276,1,10.0,38.02,0.0,14.4,0.8,28,0,28,0,0.0
2013,6,397410,465,0,9,9.58,2.99,1,1,0,1,29,1,12.0,19,1.97,13.92,0.17,1.15,12,0,0.0,0.0,12,13,1.97,13.15,12,0,0.0,0.0,12,19,1.02,0.06,9,0,0.0,9,17,1.02,9,0,0.0,9,9,0.0,0,0.0,0,0.0,0.0,1276,1,12.0,44.32,0.0,42.6,0.0,86,0,82,0,0.0
2013,6,400648,822,0,1,1.21,63.96,1,1,0,1,3,7,60.0,221,54.48,381.22,4.21,28.07,1,0,0.0,0.0,1,161,53.26,355.08,1,0,0.0,0.0,1,158,9.48,0.06,1,0,0.0,1,158,9.48,1,0,0.0,1,17,0.0,1,0.0,0,0.0,0.0,1276,22,170.0,960.8,35.8,869.93,35.8,314,0,299,8,0.0
2013,6,424763,15885,0,1276,0.0,0.0,0,0,0,0,1276,0,0.0,0,0.0,0.0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,0,0.0,0,0.0,0.0,1276,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2013,6,432868,673,0,1,13.94,5.61,1,1,0,1,48,1,12.0,13,2.55,17.02,0.5,3.33,1,0,0.0,0.0,1,11,1.96,13.05,1,0,0.0,0.0,1,51,3.06,0.06,1,21,1.26,1,30,1.8,1,0,0.0,1,10,0.0,0,0.0,0,0.0,0.0,1276,1,10.0,50.25,0.0,33.02,0.0,106,43,61,0,0.0
2013,6,445135,640,0,1,3.79,3.23,1,1,0,0,35,0,0.0,60,1.43,34.17,0.38,4.52,1,0,0.0,0.0,1,14,1.43,18.72,1,0,0.0,0.0,1,31,1.8,0.06,1,10,0.6,1,20,1.2,1,0,0.0,1,33,0.0,0,0.0,0,0.0,0.0,1276,1,5.0,148.0,0.0,92.92,0.0,89,33,50,0,0.0
2013,6,449907,625,0,1,21.73,42.81,1,1,0,1,16,1,36.03,137,21.69,149.93,1.36,15.75,1,0,0.0,0.0,1,61,10.41,88.32,1,7,0.7,2.72,1,360,21.12,0.11,1,59,1.86,1,277,16.62,1,6,0.66,1,18,0.0,3,0.0,0,0.0,0.0,58,8,186.03,563.8,0.95,313.83,27.6,1076,207,769,44,1.64
2013,6,930072,440,0,1,5.7,0.3,1,0,0,1,275,1,6.0,8,0.3,2.77,0.15,1.0,1,0,0.0,0.0,1,6,0.15,1.0,1,0,0.0,0.0,1,0,0.0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,1276,4,0.0,0,0.0,0,0.0,0.0,1276,1,6.0,2.77,0.0,1.0,0.0,0,0,0,0,0.0
2013,6,944759,199,0,9,9.92,2.28,1,0,0,0,1276,0,0.0,16,2.28,16.4,0.7,4.68,9,0,0.0,0.0,9,5,0.6,4.0,9,1,0.0,0.0,9,0,0.0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,1276,4,0.0,1,0.0,0,0.0,0.0,1276,0,0.0,32.28,0.0,11.67,0.0,0,0,0,0,0.0
2013,6,978818,219,0,1,4.27,3.26,1,0,0,0,1276,0,0.0,18,3.26,21.73,0.52,3.48,1,0,0.0,0.0,1,4,0.67,4.43,1,0,0.0,0.0,1,0,0.0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,0,0.0,0,0.0,0.0,1276,0,0.0,41.1,0.0,12.43,0.0,0,0,0,0,0.0
2013,6,981333,404,0,12,0.05,0.0,1,0,0,0,1276,0,0.0,1,0.0,0.0,0.0,0.0,12,0,0.0,0.0,12,0,0.0,0.0,12,0,0.0,0.0,12,0,0.0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,0,0.0,0,0.0,0.0,1276,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2013,6,1032186,15885,0,25,0.0,0.0,1,0,0,0,1276,0,0.0,2,0.0,0.0,0.0,0.0,25,0,0.0,0.0,25,0,0.0,0.0,25,0,0.0,0.0,25,0,0.0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,0,0.0,0,0.0,0.0,1276,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2013,6,1032439,162,0,20,0.0,0.0,1,0,0,0,1276,0,0.0,2,0.0,0.0,0.0,0.0,20,0,0.0,0.0,20,0,0.0,0.0,20,0,0.0,0.0,20,0,0.0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,0,0.0,0,0.0,0.0,1276,0,0.0,1.13,0.0,0.0,0.0,0,0,0,0,0.0
2013,6,1038714,387,0,16,1.5,2.16,1,0,0,1,16,1,1.5,3,2.16,14.37,2.16,14.37,26,0,0.0,0.0,26,3,2.16,14.37,26,0,0.0,0.0,26,0,0.0,0.0,31,0,0.0,31,0,0.0,31,0,0.0,31,11,0.0,0,0.0,0,0.0,0.0,1276,1,1.5,128.0,0.0,122.35,0.0,19,3,16,0,0.0
2013,6,1108185,15885,0,1276,0.0,0.0,0,0,0,0,1276,0,0.0,0,0.0,0.0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,0,0.0,0,0.0,0.0,1276,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2013,6,1152551,60,0,2,4.5,15.22,1,1,0,1,9,1,12.0,12,2.14,14.27,1.84,12.27,2,0,0.0,0.0,2,0,0.0,0.0,2,0,0.0,0.0,2,243,13.08,0.06,2,1,0.06,2,205,12.3,2,0,0.0,2,9,0.0,0,0.0,0,0.0,0.0,1276,3,27.0,18.02,0.0,2.75,0.0,354,3,279,0,0.0
2013,6,1165268,15869,1,2,14.58,0.42,1,1,0,1,22,1,15.0,10,0.36,2.57,0.17,1.12,2,0,0.0,0.0,2,2,0.17,1.12,2,1,0.04,0.45,2,1,0.06,0.06,11,1,0.06,11,0,0.0,11,0,0.0,11,1,0.0,1,0.0,0,0.0,0.0,1276,2,15.0,2.57,0.0,1.12,0.45,1,1,0,0,0.0
2013,6,102606,1984,0,2,1.37,0.37,1,1,0,0,1276,0,0.0,2,0.15,1.0,0.15,1.0,20,0,0.0,0.0,20,0,0.0,0.0,20,0,0.0,0.0,20,2,0.22,0.11,2,0,0.0,2,0,0.0,2,0,0.0,2,7,0.0,1,0.0,0,0.0,0.0,1276,0,0.0,11.37,0.0,0.0,0.0,7,0,1,0,0.0
2013,6,103343,1985,0,1,7.28,0.0,1,0,0,1,26,1,6.0,6,0.0,0.88,0.0,0.88,1,0,0.0,0.0,1,0,0.0,0.0,1,5,0.0,0.0,1,0,0.0,0.0,88,0,0.0,88,0,0.0,88,0,0.0,88,11,0.0,11,0.0,0,0.0,0.0,1276,3,18.0,40.87,0.0,11.4,2.23,1,0,0,0,0.0
2013,6,224133,1755,0,1,3.5,6.58,1,1,1,1,29,1,10.0,23,4.84,17.92,1.85,4.08,1,6,2.37,2.48,1,15,2.2,14.65,1,8,2.64,3.27,1,19,1.59,0.11,1,6,0.36,1,4,0.24,1,9,0.99,1,7,0.0,4,0.0,2,0.59,0.15,12,2,20.0,63.35,2.98,54.62,4.8,98,22,58,11,5.17
2013,6,243933,1566,0,3,10.87,0.0,1,0,0,0,1276,0,0.0,1,0.0,0.0,0.0,0.0,3,0,0.0,0.0,3,0,0.0,0.0,3,0,0.0,0.0,3,0,0.0,0.0,71,0,0.0,71,0,0.0,71,0,0.0,71,3,0.0,0,0.0,0,0.0,0.0,1276,0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0.0
2013,6,310473,1350,0,1,9.18,1.7,1,1,0,0,1276,0,0.0,39,1.06,10.75,0.38,2.55,1,0,0.0,0.0,1,13,0.98,6.55,1,9,0.08,0.8,1,9,0.64,0.11,4,0,0.0,4,7,0.42,4,2,0.22,4,10,0.0,9,0.0,0,0.0,0.0,1276,0,4.0,50.22,3.88,12.55,32.12,36,0,20,16,0.0
2013,6,316484,1467,0,1,9.21,1.54,1,1,0,0,1276,0,0.0,18,0.94,11.37,0.6,3.98,7,0,0.0,0.0,7,3,0.94,6.25,7,0,0.0,0.0,7,10,0.6,0.06,1,0,0.0,1,10,0.6,1,0,0.0,1,7,0.0,0,0.0,0,0.0,0.0,1276,0,0.0,39.33,0.0,13.53,0.0,26,1,25,0,0.0
2013,6,326414,1307,0,14,1.96,0.94,1,0,0,0,92,0,0.0,11,0.94,6.25,0.64,4.25,14,0,0.0,0.0,14,6,0.3,2.0,14,0,0.0,0.0,14,0,0.0,0.0,92,0,0.0,92,0,0.0,92,0,0.0,92,0,0.0,0,0.0,0,0.0,0.0,1276,1,4.0,17.35,0.0,13.1,0.0,2,0,1,0,0.0
2013,6,398110,862,0,6,6.25,0.78,1,0,0,0,1276,0,0.0,6,0.78,5.18,0.18,1.18,6,0,0.0,0.0,6,5,0.78,5.18,6,0,0.0,0.0,6,0,0.0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,0,0.0,0,0.0,0.0,1276,0,0.0,20.03,0.0,14.0,0.0,0,0,0,0,0.0
2013,6,400445,430,0,1,37.76,9.38,1,1,0,1,2,2,36.02,10,2.78,19.6,1.71,11.38,2,0,0.0,0.0,2,5,2.6,17.33,2,1,0.18,0.5,2,103,6.6,0.11,1,0,0.0,1,88,5.28,1,1,0.11,1,22,0.0,2,0.0,0,0.0,0.0,1276,8,54.015,23.13,0.0,21.37,0.5,353,0,332,1,0.0
2013,6,416751,227,0,7,6.92,0.24,1,0,0,0,1276,0,0.0,1,0.24,1.6,0.24,1.6,7,0,0.0,0.0,7,1,0.24,1.6,7,0,0.0,0.0,7,0,0.0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,1276,3,0.0,0,0.0,0,0.0,0.0,1276,0,0.0,7.6,0.0,7.6,0.0,0,0,0,0,0.0
2013,6,423500,604,0,1,4.69,4.71,1,1,0,0,58,0,0.0,45,1.43,15.75,0.33,2.22,4,0,0.0,0.0,4,6,0.95,6.32,4,0,0.0,0.0,4,30,3.28,0.8,1,0,0.0,1,28,1.68,1,0,0.0,1,11,1.6,0,0.0,0,0.0,0.0,1276,1,12.0,33.92,0.0,15.03,0.25,47,0,43,1,0.0
